Entity,Code,Year,Population
Austria,AUT,100,549999
Austria,AUT,200,599999
Austria,AUT,300,549999
Austria,AUT,400,500000
Austria,AUT,500,449999
Austria,AUT,600,399999
Austria,AUT,700,449999
Austria,AUT,800,500000
Austria,AUT,900,599999
Austria,AUT,1000,700000
Austria,AUT,1100,899999
Austria,AUT,1200,1249999
Austria,AUT,1300,2000000
Austria,AUT,1400,1249999
Austria,AUT,1500,2000000
Austria,AUT,1600,2100001
Austria,AUT,1700,2119999
Austria,AUT,1710,2232609
Austria,AUT,1720,2345224
Austria,AUT,1730,2457834
Austria,AUT,1740,2570445
Austria,AUT,1750,2683053
Austria,AUT,1760,2783740
Austria,AUT,1770,2876467
Austria,AUT,1780,2969201
Austria,AUT,1790,3045800
Austria,AUT,1800,3000000
Austria,AUT,1801,3017451
Austria,AUT,1802,3035004
Austria,AUT,1803,3052658
Austria,AUT,1804,3070416
Austria,AUT,1805,3088277
Austria,AUT,1806,3106241
Austria,AUT,1807,3124310
Austria,AUT,1808,3142485
Austria,AUT,1809,3160765
Austria,AUT,1810,3179258
Austria,AUT,1811,3197752
Austria,AUT,1812,3216353
Austria,AUT,1813,3235063
Austria,AUT,1814,3253881
Austria,AUT,1815,3272809
Austria,AUT,1816,3291847
Austria,AUT,1817,3310996
Austria,AUT,1818,3330256
Austria,AUT,1819,3349015
Austria,AUT,1820,3367266
Austria,AUT,1821,3385004
Austria,AUT,1822,3402223
Austria,AUT,1823,3418916
Austria,AUT,1824,3435691
Austria,AUT,1825,3452549
Austria,AUT,1826,3469489
Austria,AUT,1827,3486512
Austria,AUT,1828,3503619
Austria,AUT,1829,3520820
Austria,AUT,1830,3538115
Austria,AUT,1831,3555505
Austria,AUT,1832,3572991
Austria,AUT,1833,3590572
Austria,AUT,1834,3608240
Austria,AUT,1835,3625995
Austria,AUT,1836,3643838
Austria,AUT,1837,3661768
Austria,AUT,1838,3679786
Austria,AUT,1839,3698789
Austria,AUT,1840,3718786
Austria,AUT,1841,3739787
Austria,AUT,1842,3761804
Austria,AUT,1843,3784847
Austria,AUT,1844,3808031
Austria,AUT,1845,3831357
Austria,AUT,1846,3854826
Austria,AUT,1847,3878438
Austria,AUT,1848,3902195
Austria,AUT,1849,3926782
Austria,AUT,1850,3952208
Austria,AUT,1851,3978557
Austria,AUT,1852,4005766
Austria,AUT,1853,4033846
Austria,AUT,1854,4062123
Austria,AUT,1855,4090598
Austria,AUT,1856,4119272
Austria,AUT,1857,4148148
Austria,AUT,1858,4177226
Austria,AUT,1859,4206120
Austria,AUT,1860,4234828
Austria,AUT,1861,4263344
Austria,AUT,1862,4291666
Austria,AUT,1863,4319789
Austria,AUT,1864,4348096
Austria,AUT,1865,4376588
Austria,AUT,1866,4405267
Austria,AUT,1867,4434134
Austria,AUT,1868,4463191
Austria,AUT,1869,4494618
Austria,AUT,1870,4528451
Austria,AUT,1871,4564726
Austria,AUT,1872,4603478
Austria,AUT,1873,4644744
Austria,AUT,1874,4686380
Austria,AUT,1875,4728390
Austria,AUT,1876,4770776
Austria,AUT,1877,4813542
Austria,AUT,1878,4856691
Austria,AUT,1879,4900094
Austria,AUT,1880,4943751
Austria,AUT,1881,4987664
Austria,AUT,1882,5031834
Austria,AUT,1883,5076261
Austria,AUT,1884,5121081
Austria,AUT,1885,5166297
Austria,AUT,1886,5211912
Austria,AUT,1887,5257929
Austria,AUT,1888,5304353
Austria,AUT,1889,5352739
Austria,AUT,1890,5403121
Austria,AUT,1891,5455531
Austria,AUT,1892,5510005
Austria,AUT,1893,5566578
Austria,AUT,1894,5623731
Austria,AUT,1895,5681470
Austria,AUT,1896,5739803
Austria,AUT,1897,5798734
Austria,AUT,1898,5858271
Austria,AUT,1899,5918416
Austria,AUT,1900,5979176
Austria,AUT,1901,6040557
Austria,AUT,1902,6102565
Austria,AUT,1903,6165207
Austria,AUT,1904,6228492
Austria,AUT,1905,6292427
Austria,AUT,1906,6357018
Austria,AUT,1907,6422272
Austria,AUT,1908,6488195
Austria,AUT,1909,6538009
Austria,AUT,1910,6571587
Austria,AUT,1911,6588803
Austria,AUT,1912,6589530
Austria,AUT,1913,6573637
Austria,AUT,1914,6557782
Austria,AUT,1915,6541966
Austria,AUT,1916,6526188
Austria,AUT,1917,6510448
Austria,AUT,1918,6494625
Austria,AUT,1919,6486496
Austria,AUT,1920,6486069
Austria,AUT,1921,6493353
Austria,AUT,1922,6508355
Austria,AUT,1923,6531083
Austria,AUT,1924,6553892
Austria,AUT,1925,6576779
Austria,AUT,1926,6599747
Austria,AUT,1927,6622795
Austria,AUT,1928,6645923
Austria,AUT,1929,6664878
Austria,AUT,1930,6679644
Austria,AUT,1931,6690204
Austria,AUT,1932,6696542
Austria,AUT,1933,6698643
Austria,AUT,1934,6700745
Austria,AUT,1935,6702847
Austria,AUT,1936,6704950
Austria,AUT,1937,6707053
Austria,AUT,1938,6709158
Austria,AUT,1939,6715380
Austria,AUT,1940,6725734
Austria,AUT,1941,6740236
Austria,AUT,1942,6758902
Austria,AUT,1943,6781747
Austria,AUT,1944,6804668
Austria,AUT,1945,6827667
Austria,AUT,1946,6850744
Austria,AUT,1947,6873899
Austria,AUT,1948,6897132
Austria,AUT,1949,6917983
Austria,AUT,1950,6936443
Austria,AUT,1951,6930432
Austria,AUT,1952,6927017
Austria,AUT,1953,6931796
Austria,AUT,1954,6939644
Austria,AUT,1955,6946266
Austria,AUT,1956,6951744
Austria,AUT,1957,6965322
Austria,AUT,1958,6986795
Austria,AUT,1959,7013602
Austria,AUT,1960,7046554
Austria,AUT,1961,7085440
Austria,AUT,1962,7128972
Austria,AUT,1963,7174878
Austria,AUT,1964,7222897
Austria,AUT,1965,7269892
Austria,AUT,1966,7320920
Austria,AUT,1967,7375632
Austria,AUT,1968,7413813
Austria,AUT,1969,7439324
Austria,AUT,1970,7465310
Austria,AUT,1971,7498548
Austria,AUT,1972,7542083
Austria,AUT,1973,7584024
Austria,AUT,1974,7597028
Austria,AUT,1975,7576929
Austria,AUT,1976,7563509
Austria,AUT,1977,7566357
Austria,AUT,1978,7560248
Austria,AUT,1979,7547482
Austria,AUT,1980,7547564
Austria,AUT,1981,7566318
Austria,AUT,1982,7571291
Austria,AUT,1983,7559110
Austria,AUT,1984,7558564
Austria,AUT,1985,7562114
Austria,AUT,1986,7567247
Austria,AUT,1987,7572379
Austria,AUT,1988,7583766
Austria,AUT,1989,7619393
Austria,AUT,1990,7678732
Austria,AUT,1991,7755640
Austria,AUT,1992,7840816
Austria,AUT,1993,7905280
Austria,AUT,1994,7935366
Austria,AUT,1995,7947293
Austria,AUT,1996,7958043
Austria,AUT,1997,7967086
Austria,AUT,1998,7975856
Austria,AUT,1999,7991382
Austria,AUT,2000,8010425
Austria,AUT,2001,8039633
Austria,AUT,2002,8078994
Austria,AUT,2003,8120105
Austria,AUT,2004,8171215
Austria,AUT,2005,8227034
Austria,AUT,2006,8267771
Austria,AUT,2007,8294720
Austria,AUT,2008,8321134
Austria,AUT,2009,8342939
Austria,AUT,2010,8362829
Austria,AUT,2011,8391201
Austria,AUT,2012,8429641
Austria,AUT,2013,8479542
Austria,AUT,2014,8546066
Austria,AUT,2015,8642422
Austria,AUT,2016,8736491
Austria,AUT,2017,8797497
Austria,AUT,2018,8840518
Austria,AUT,2019,8879939
Austria,AUT,2020,8907780
Austria,AUT,2021,8922086
